
# Curve 0 of 1, 501 points
# x y type
   9.74995     -93.4245560200  i
   9.75200     -93.4247722421  i
   9.75405     -93.4249884152  i
   9.75611     -93.4252044904  i
   9.75816     -93.4254204186  i
   9.76021     -93.4256361510  i
   9.76226     -93.4258516384  i
   9.76432     -93.4260668320  i
   9.76637     -93.4262816827  i
   9.76842     -93.4264961416  i
   9.77047     -93.4267101597  i
   9.77253     -93.4269236880  i
   9.77458     -93.4271366776  i
   9.77663     -93.4273490794  i
   9.77868     -93.4275608445  i
   9.78074     -93.4277719239  i
   9.78279     -93.4279822687  i
   9.78484     -93.4281918298  i
   9.78690     -93.4284005583  i
   9.78895     -93.4286084052  i
   9.79100     -93.4288153215  i
   9.79305     -93.4290212582  i
   9.79511     -93.4292261664  i
   9.79716     -93.4294299971  i
   9.79921     -93.4296327013  i
   9.80126     -93.4298342300  i
   9.80332     -93.4300345450  i
   9.80537     -93.4302336506  i
   9.80742     -93.4304315621  i
   9.80947     -93.4306282946  i
   9.81153     -93.4308238632  i
   9.81358     -93.4310182830  i
   9.81563     -93.4312115693  i
   9.81768     -93.4314037371  i
   9.81974     -93.4315948016  i
   9.82179     -93.4317847779  i
   9.82384     -93.4319736813  i
   9.82589     -93.4321615267  i
   9.82795     -93.4323483294  i
   9.83000     -93.4325341045  i
   9.83205     -93.4327188671  i
   9.83411     -93.4329026325  i
   9.83616     -93.4330854156  i
   9.83821     -93.4332672318  i
   9.84026     -93.4334480960  i
   9.84232     -93.4336280235  i
   9.84437     -93.4338070295  i
   9.84642     -93.4339851289  i
   9.84847     -93.4341623371  i
   9.85053     -93.4343386690  i
   9.85258     -93.4345141400  i
   9.85463     -93.4346887622  i
   9.85668     -93.4348625364  i
   9.85874     -93.4350354606  i
   9.86079     -93.4352075326  i
   9.86284     -93.4353787504  i
   9.86489     -93.4355491119  i
   9.86695     -93.4357186150  i
   9.86900     -93.4358872577  i
   9.87105     -93.4360550378  i
   9.87311     -93.4362219532  i
   9.87516     -93.4363880019  i
   9.87721     -93.4365531818  i
   9.87926     -93.4367174908  i
   9.88132     -93.4368809268  i
   9.88337     -93.4370434877  i
   9.88542     -93.4372051715  i
   9.88747     -93.4373659761  i
   9.88953     -93.4375258993  i
   9.89158     -93.4376849392  i
   9.89363     -93.4378430935  i
   9.89568     -93.4380003603  i
   9.89774     -93.4381567374  i
   9.89979     -93.4383122228  i
   9.90184     -93.4384668144  i
   9.90389     -93.4386205100  i
   9.90595     -93.4387733084  i
   9.90800     -93.4389252114  i
   9.91005     -93.4390762214  i
   9.91210     -93.4392263410  i
   9.91416     -93.4393755727  i
   9.91621     -93.4395239191  i
   9.91826     -93.4396713826  i
   9.92032     -93.4398179658  i
   9.92237     -93.4399636712  i
   9.92442     -93.4401085013  i
   9.92647     -93.4402524587  i
   9.92853     -93.4403955459  i
   9.93058     -93.4405377655  i
   9.93263     -93.4406791198  i
   9.93468     -93.4408196116  i
   9.93674     -93.4409592432  i
   9.93879     -93.4410980173  i
   9.94084     -93.4412359363  i
   9.94289     -93.4413730028  i
   9.94495     -93.4415092192  i
   9.94700     -93.4416445882  i
   9.94905     -93.4417791123  i
   9.95110     -93.4419127939  i
   9.95316     -93.4420456356  i
   9.95521     -93.4421776400  i
   9.95726     -93.4423088093  i
   9.95932     -93.4424391450  i
   9.96137     -93.4425686484  i
   9.96342     -93.4426973207  i
   9.96547     -93.4428251631  i
   9.96753     -93.4429521770  i
